Date,Time (Minutes),Player
1997-01-07,1.4797,Edwin P
2004-06-27,1.4840,KartSeven
2005-04-04,1.4840,Geo
2005-04-10,1.4820,KVD
2005-04-11,1.4820,Geo
2005-04-18,1.4780,KVD
2005-04-20,1.4740,Geo
2005-04-21,1.4700,KVD
2005-05-11,1.4680,KVD
2005-05-12,1.4660,KVD
2005-05-13,1.4600,KVD
2005-12-13,1.4580,KVD
2005-12-22,1.4540,KVD
2005-12-30,1.4520,KartSeven
2005-12-31,1.5293,KartSeven
2006-02-26,1.5293,KVD
2007-09-05,1.5213,KVD
2008-04-16,1.5193,Neo
2008-08-05,1.5193,KVD
2008-08-06,1.5153,KVD
2008-08-08,1.5093,KVD
2010-09-11,1.5053,KVD
2012-01-30,1.5033,Sami
2012-01-31,1.5013,Antistar
2012-02-17,1.4973,Sami
2016-06-18,1.4973,KVD
2021-05-27,1.4973,Aron
2021-05-28,1.4933,Aron
2021-06-01,1.4873,Aron
2021-08-27,1.4873,KVD
2021-08-29,1.4853,KVD
2021-11-29,1.4833,Antistar
2021-12-06,1.4693,Antistar
