year,distance,time_string,time_sec
2022,1.25,02:02.6,122.61
2021,1.25,02:01.0,121.02
2020,1.25,02:00.6,120.61
2019,1.25,02:03.9,123.93
2018,1.25,02:04.2,124.2
2017,1.25,02:03.6,123.59
2016,1.25,02:01.3,121.31
2015,1.25,02:03.0,123.02
2014,1.25,02:03.7,123.66
2013,1.25,02:02.9,122.89
2012,1.25,02:01.8,121.83
2011,1.25,02:02.0,122.04
2010,1.25,02:04.5,124.45
2009,1.25,02:02.7,122.66
2008,1.25,02:01.8,121.82
2007,1.25,02:02.2,122.17
2006,1.25,02:01.4,121.36
2005,1.25,02:02.8,122.75
2004,1.25,02:04.1,124.06
2003,1.25,02:01.2,121.19
2002,1.25,02:01.1,121.13
2001,1.25,02:00.0,119.97
2000,1.25,02:01.0,121
1999,1.25,02:03.2,123.2
1998,1.25,02:02.2,122.2
1997,1.25,02:02.4,122.4
1996,1.25,02:01.0,121
1995,1.25,02:01.2,121.2
1994,1.25,02:03.6,123.6
1993,1.25,02:02.4,122.4
1992,1.25,02:03.0,123
1991,1.25,02:03.0,123
1990,1.25,02:02.0,122
1989,1.25,02:05.0,125
1988,1.25,02:02.2,122.2
1987,1.25,02:03.4,123.4
1986,1.25,02:02.8,122.8
1985,1.25,02:00.2,120.2
1984,1.25,02:02.4,122.4
1983,1.25,02:02.2,122.2
1982,1.25,02:02.4,122.4
1981,1.25,02:02.0,122
1980,1.25,02:02.0,122
1979,1.25,02:02.4,122.4
1978,1.25,02:01.2,121.2
1977,1.25,02:02.2,122.2
1976,1.25,02:01.6,121.6
1975,1.25,02:02.0,122
1974,1.25,02:04.0,124
1973,1.25,01:59.4,119.4
1972,1.25,02:01.8,121.8
1971,1.25,02:03.2,123.2
1970,1.25,02:03.4,123.4
1969,1.25,02:01.8,121.8
1968,1.25,02:02.2,122.2
1967,1.25,02:00.6,120.6
1966,1.25,02:02.0,122
1965,1.25,02:01.2,121.2
1964,1.25,02:00.0,120
1963,1.25,02:01.8,121.8
1962,1.25,02:00.4,120.4
1961,1.25,02:04.0,124
1960,1.25,02:02.4,122.4
1959,1.25,02:02.2,122.2
1958,1.25,02:05.0,125
1957,1.25,02:02.2,122.2
1956,1.25,02:03.4,123.4
1955,1.25,02:01.8,121.8
1954,1.25,02:03.0,123
1953,1.25,02:02.0,122
1952,1.25,02:01.6,121.6
1951,1.25,02:02.6,122.6
1950,1.25,02:01.6,121.6
1949,1.25,02:04.2,124.2
1948,1.25,02:05.4,125.4
1947,1.25,02:06.8,126.8
1946,1.25,02:06.6,126.6
1945,1.25,02:07.0,127
1944,1.25,02:04.2,124.2
1943,1.25,02:04.0,124
1942,1.25,02:04.4,124.4
1941,1.25,02:01.4,121.4
1940,1.25,02:05.0,125
1939,1.25,02:03.4,123.4
1938,1.25,02:04.8,124.8
1937,1.25,02:03.2,123.2
1936,1.25,02:03.6,123.6
1935,1.25,02:05.0,125
1934,1.25,02:04.0,124
1933,1.25,02:06.8,126.8
1932,1.25,02:05.2,125.2
1931,1.25,02:01.8,121.8
1930,1.25,02:07.6,127.6
1929,1.25,02:10.8,130.8
1928,1.25,02:10.4,130.4
1927,1.25,02:06.0,126
1926,1.25,02:03.8,123.8
1925,1.25,02:07.6,127.6
1924,1.25,02:05.2,125.2
1923,1.25,02:05.4,125.4
1922,1.25,02:04.6,124.6
1921,1.25,02:04.2,124.2
1920,1.25,02:09.0,129
1919,1.25,02:09.8,129.8
1918,1.25,02:10.8,130.8
1917,1.25,02:04.6,124.6
1916,1.25,02:04.0,124
1915,1.25,02:05.4,125.4
1914,1.25,02:03.4,123.4
1913,1.25,02:04.8,124.8
1912,1.25,02:09.4,129.4
1911,1.25,02:05.0,125
1910,1.25,02:06.4,126.4
1909,1.25,02:08.2,128.2
1908,1.25,02:15.2,135.2
1907,1.25,02:12.6,132.6
1906,1.25,02:08.8,128.8
1905,1.25,02:10.8,130.75
1904,1.25,02:08.5,128.5
1903,1.25,02:09.0,129
1902,1.25,02:08.8,128.75
1901,1.25,02:07.8,127.75
1900,1.25,02:06.2,126.25
1899,1.25,02:12.0,132
1898,1.25,02:09.0,129
1897,1.25,02:12.5,132.5
1896,1.25,02:07.8,127.75
1895,1.5,02:37.5,157.5
1894,1.5,02:41.0,161
1893,1.5,02:39.3,159.25
1892,1.5,02:41.5,161.5
1891,1.5,02:52.3,172.25
1890,1.5,02:45.0,165
1889,1.5,02:34.5,154.5
1888,1.5,02:38.3,158.25
1887,1.5,02:39.3,159.25
1886,1.5,02:36.5,156.5
1885,1.5,02:37.3,157.25
1884,1.5,02:40.3,160.25
1883,1.5,02:43.0,163
1882,1.5,02:40.3,160.25
1881,1.5,02:40.0,160
1880,1.5,02:37.5,157.5
1879,1.5,02:37.0,157
1878,1.5,02:37.3,157.25
1877,1.5,02:38.0,158
1876,1.5,02:38.3,158.25
1875,1.5,02:37.7,157.75
